idx,section,scholar,latin_name,found,collection_type,collection_url,estimated_volumes,query_used
89,神學,巴特（Karl Barth）,Karl Barth,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Karl%20Barth%22,,(constructed-url)
90,神學,拉納（Karl Rahner）,Karl Rahner,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Karl%20Rahner%22,,(constructed-url)
91,神學,莫特曼（Jürgen Moltmann）,Jürgen Moltmann,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22J%C3%BCrgen%20Moltmann%22,,(constructed-url)
92,神學,布特曼（Rudolf Bultmann）,Rudolf Bultmann,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Rudolf%20Bultmann%22,,(constructed-url)
93,神學,田立克（Paul Tillich）,Paul Tillich,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Paul%20Tillich%22,,(constructed-url)
94,神學,潘霍華（Dietrich Bonhoeffer）,Dietrich Bonhoeffer,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Dietrich%20Bonhoeffer%22,,(constructed-url)
95,神學,尼布爾（Reinhold Niebuhr）,Reinhold Niebuhr,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Reinhold%20Niebuhr%22,,(constructed-url)
96,神學,漢斯·昆（Hans Küng）,Hans Küng,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Hans%20K%C3%BCng%22,,(constructed-url)
97,神學,巴爾塔薩（Hans Urs von Balthasar）,Hans Urs von Balthasar,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Hans%20Urs%20von%20Balthasar%22,,(constructed-url)
98,神學,龐恩貝格（Wolfgang Pannenberg）,Wolfgang Pannenberg,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Wolfgang%20Pannenberg%22,,(constructed-url)
99,神學,沃格（John Howard Yoder）,John Howard Yoder,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22John%20Howard%20Yoder%22,,(constructed-url)
100,神學,郝爾沃斯（Stanley Hauerwas）,Stanley Hauerwas,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Stanley%20Hauerwas%22,,(constructed-url)
101,神學,葛倫斯（Gustaf Aulén）,Gustaf Aulén,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Gustaf%20Aul%C3%A9n%22,,(constructed-url)
102,神學,阿奎那（Thomas Aquinas）,Thomas Aquinas,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Thomas%20Aquinas%22,,(constructed-url)
103,神學,奧斯丁（Augustine）,Augustine,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Augustine%22,,(constructed-url)
104,神學,路德（Martin Luther）,Martin Luther,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Martin%20Luther%22,,(constructed-url)
105,神學,加爾文（John Calvin）,John Calvin,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22John%20Calvin%22,,(constructed-url)
