idx,section,scholar,title,found,best_url,all_pdf_urls,query_used
20,社會學,帕森斯（Talcott Parsons）,Social System,Y,http://www.csun.edu/~snk1966/Talcott%20Parsons%20-%20An%20Outline%20of%20the%20Social%20System.pdf,http://www.csun.edu/~snk1966/Talcott%20Parsons%20-%20An%20Outline%20of%20the%20Social%20System.pdf|https://voidnetwork.gr/wp-content/uploads/2016/10/The-Social-System-by-Talcott-Parsons.pdf|https://tomek.org/files/the_social_system.pdf|https://idr.uin-antasari.ac.id/471/1/talcotPARSON.pdf|https://egyankosh.ac.in/bitstream/123456789/18973/1/Unit-27.pdf,"""Social System"" Talcott Parsons filetype:pdf"
19,社會學,帕森斯（Talcott Parsons）,現代社會的結構與過程,Y,http://www.shehui.pku.edu.cn/upload/editor/file/20201104/20201104135720_8377.pdf,http://www.shehui.pku.edu.cn/upload/editor/file/20201104/20201104135720_8377.pdf|https://www.cuhk.edu.hk/ics/21c/media/articles/c104-200703098.pdf|http://www.sociology2010.cass.cn/xscg/zxwz/201601/W020160125571521738148.pdf|https://files.core.ac.uk/download/pdf/61166019.pdf|https://shxyj.ajcass.com/Admin/UploadFile/Issue/1ibcl05v.pdf|https://s3.us-west-1.wasabisys.com/p-library/books/7a0fb971d918ae8617dcb1c6569037aa.pdf,"""現代社會的結構與過程"" 帕森斯 pdf 下載"
21,社會學,布迪厄（Pierre Bourdieu）,區分,Y,http://homepage.ntu.edu.tw/~msho/public.files/m33.pdf,http://homepage.ntu.edu.tw/~msho/public.files/m33.pdf|https://www.cuhk.edu.hk/ics/21c/media/articles/c070-200203009.pdf,"""區分"" 布迪厄 pdf 下載"
22,社會學,布迪厄（Pierre Bourdieu）,實踐感,Y,https://monoskop.org/images/8/88/Bourdieu_Pierre_The_Logic_of_Practice_1990.pdf,https://monoskop.org/images/8/88/Bourdieu_Pierre_The_Logic_of_Practice_1990.pdf|https://monoskop.org/File:Bourdieu_Pierre_The_Logic_of_Practice_1990.pdf,The Logic of Practice Bourdieu filetype:pdf (retry-en)
23,社會學,布迪厄（Pierre Bourdieu）,Distinction,Y,https://web.stanford.edu/class/think53/bourdieu17.pdf,https://web.stanford.edu/class/think53/bourdieu17.pdf|https://raggeduniversity.co.uk/wp-content/uploads/2024/09/1_x_Pierre-Bourdieu-Distinction-Routledge-Classics-Routledge.pdf|https://raggeduniversity.co.uk/wp-content/uploads/2025/02/1_x_PierreBourdieuDistinctionASocialCritiqueoftheJudgementofTaste1984_compressed.pdf|https://monoskop.org/File:Pierre_Bourdieu_Distinction_A_Social_Critique_of_the_Judgement_of_Taste_1984.pdf,"""Distinction"" Pierre Bourdieu filetype:pdf"
24,社會學,布迪厄（Pierre Bourdieu）,Logic of Practice,Y,https://monoskop.org/images/8/88/Bourdieu_Pierre_The_Logic_of_Practice_1990.pdf,"https://monoskop.org/images/8/88/Bourdieu_Pierre_The_Logic_of_Practice_1990.pdf|https://monoskop.org/File:Bourdieu_Pierre_The_Logic_of_Practice_1990.pdf|https://eclass-b.uoa.gr/modules/document/file.php/PSPA260/Pierre%20Bourdieu%20et%20al.,%20Richard%20Nice%20-%20The%20Logic%20of%20Practice-Stanford%20University%20Press%20(1992).pdf","""Logic of Practice"" Pierre Bourdieu filetype:pdf"
25,社會學,布迪厄（Pierre Bourdieu）,再生產,Y,http://www.ater.org.tw/journal/article/14-8/all.pdf,http://www.ater.org.tw/journal/article/14-8/all.pdf,"""再生產"" 布迪厄 pdf 下載"
26,社會學,哈伯馬斯（Jürgen Habermas）,公共領域的結構轉型,Y,https://allen-webb-wmu.github.io/website/habermas.pdf,https://allen-webb-wmu.github.io/website/habermas.pdf|https://arditiesp.wordpress.com/wp-content/uploads/2015/01/habermas_structural_transf_public_sphere.pdf|https://courses.ischool.berkeley.edu/i218/s15/Habermas_STBPS_I.Intro.pdf,The Structural Transformation of the Public Sphere Habermas filetype:pdf (retry-en)
27,社會學,哈伯馬斯（Jürgen Habermas）,溝通行動理論,Y,https://teric.naer.edu.tw/wSite/PDFReader?fileName=1576571648725&format=pdf,https://teric.naer.edu.tw/wSite/PDFReader?fileName=1576571648725&format=pdf|https://ah.nccu.edu.tw/bitstream/140.119/33769/9/60507109.pdf|https://www.sharing.com.tw/pdf/5ND02/%E8%A9%A6%E8%AE%80.pdf,"""溝通行動理論"" 哈伯馬斯 pdf 下載"
28,社會學,哈伯馬斯（Jürgen Habermas）,認識與興趣,Y,https://www.sharing.com.tw/pdf/5ND02/%E8%A9%A6%E8%AE%80.pdf,https://www.sharing.com.tw/pdf/5ND02/%E8%A9%A6%E8%AE%80.pdf,"""認識與興趣"" 哈伯馬斯 pdf 下載"
29,社會學,戈夫曼（Erving Goffman）,日常生活中的自我表演,Y,https://archive.org/download/goffmanthepresentationofselfineverydaylife/Goffman%20the%20presentation%20of%20self%20in%20everyday%20life.pdf,https://archive.org/download/goffmanthepresentationofselfineverydaylife/Goffman%20the%20presentation%20of%20self%20in%20everyday%20life.pdf|https://monoskop.org/images/1/19/Goffman_Erving_The_Presentation_of_Self_in_Everyday_Life.pdf|https://cs.brown.edu/courses/csci1300/fall2018/readings/Goffman.pdf,The Presentation of Self in Everyday Life Goffman filetype:pdf (retry-en)
30,社會學,戈夫曼（Erving Goffman）,汙名,Y,https://ia601503.us.archive.org/22/items/in.ernet.dli.2015.264015/2015.264015.Stigma.pdf,https://ia601503.us.archive.org/22/items/in.ernet.dli.2015.264015/2015.264015.Stigma.pdf|https://avalonlibrary.net/Erving_Goffman/Erving%20Goffman%20-%20Stigma_%20Notes%20on%20the%20Management%20of%20Spoiled%20Identity-Prentice%20Hall%20(1963).pdf|https://academicweb.nd.edu/~rwilliam/ndonly/readings/SocProblems/01-GayRightsGayMarriageGayProblems/Stigma_%20Notes%20on%20the%20Management%20of%20Spoiled%20Identity.pdf,Stigma Notes on the Management of Spoiled Identity Goffman filetype:pdf (retry-en)
31,社會學,戈夫曼（Erving Goffman）,互動秩序,Y,https://ocw.aca.ntu.edu.tw/uploads/course_item_file/file/6359/103S202_AA16L01.pdf,https://ocw.aca.ntu.edu.tw/uploads/course_item_file/file/6359/103S202_AA16L01.pdf|http://www.tacws.org/zh-TW/practices/download/journals91/090101.pdf,"""互動秩序"" 戈夫曼 pdf 下載"
32,社會學,鮑曼（Zygmunt Bauman）,現代性與大屠殺,N,,,Modernity and the Holocaust Bauman filetype:pdf (retry-en)
33,社會學,鮑曼（Zygmunt Bauman）,液態現代性,Y,https://giuseppecapograssi.wordpress.com/wp-content/uploads/2014/01/bauman-liquid-modernity.pdf,https://giuseppecapograssi.wordpress.com/wp-content/uploads/2014/01/bauman-liquid-modernity.pdf|https://content.e-bookshelf.de/media/reading/L-3880112-05094665cc.pdf,Liquid Modernity Bauman filetype:pdf (retry-en)
34,社會學,亞當斯密（Adam Smith）,國富論,Y,https://taiwanebook.ncl.edu.tw/zh-tw/book/NCL-000122532/reader,https://taiwanebook.ncl.edu.tw/zh-tw/book/NCL-000122532/reader|https://ips.nsysu.edu.tw/assets/files/20210418030833.pdf|https://upload.wikimedia.org/wikipedia/commons/f/f5/NCL-000122532_%E5%9C%8B%E5%AF%8C%E8%AB%96_v.1.pdf|https://github.com/AndBird/books/blob/master/books/quality%20other/%E4%BC%91%E6%81%AF%E9%98%85%E8%AF%BB/%E7%BB%8F%E6%B5%8E/%E5%9F%BA%E7%A1%80(1)/%E4%BA%9A%E5%BD%93%C2%B7%E6%96%AF%E5%AF%86%E3%80%8A%E5%9B%BD%E5%AF%8C%E8%AE%BA%E3%80%8B%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86.pdf|https://www.haodoo.net/?M=Share&P=0970,"""國富論"" 亞當斯密 pdf 下載"
35,社會學,孔德（Auguste Comte）,實證哲學教程,Y,https://ia902902.us.archive.org/10/items/positivephilosop01comt/positivephilosop01comt.pdf,https://ia902902.us.archive.org/10/items/positivephilosop01comt/positivephilosop01comt.pdf|https://historyofeconomicthought.mcmaster.ca/comte/Philosophy1.pdf|https://historyofeconomicthought.mcmaster.ca/comte/Philosophy3.pdf|https://dhspriory.org/kenny/PhilTexts/Comte/Philosophy2.pdf|https://sites.pitt.edu/~jdnorton/teaching/Empiricism/pdfs/Comte_Positive_Philosophy_Ch_1.pdf,Course of Positive Philosophy Auguste Comte filetype:pdf (retry-en)
36,社會學,阿宏（Raymond Aron）,社會學主要思潮,N,,,Main Currents in Sociological Thought Raymond Aron filetype:pdf (retry-en)
37,心理學,佛洛伊德（Sigmund Freud）,夢的解析,Y,https://archive.org/details/science229_yahoo_20180627_1153,https://archive.org/details/science229_yahoo_20180627_1153|https://magazine.web2.ncku.edu.tw/var/file/70/1070/img/565/p.26-31.pdf,"""夢的解析"" 佛洛伊德 pdf 下載"
38,心理學,佛洛伊德（Sigmund Freud）,圖騰與禁忌,Y,http://homepage.ntu.edu.tw/~bcla/e_book/76/7609.pdf,http://homepage.ntu.edu.tw/~bcla/e_book/76/7609.pdf|https://rc019.ndhu.edu.tw/var/file/56/1056/img/2548/892536052.pdf|http://sssch.net/Admin/ckfinder/userfiles/files/shujixiazai/shujijijin(xinli)/%E5%BC%97%E6%B4%9B%E4%BC%8A%E5%BE%B7%E6%96%87%E9%9B%86/[%E5%BC%97%E6%B4%9B%E4%BC%8A%E5%BE%B7%E6%96%87%E9%9B%868-%E5%9B%BE%E8%85%BE%E4%B8%8E%E7%A6%81%E5%BF%8C].%E6%89%AB%E6%8F%8F%E7%89%88.pdf,"""圖騰與禁忌"" 佛洛伊德 pdf 下載"
39,心理學,佛洛伊德（Sigmund Freud）,文明及其不滿,Y,https://ia801503.us.archive.org/20/items/in.ernet.dli.2015.218475/2015.218475.Civilization-And_text.pdf,https://ia801503.us.archive.org/20/items/in.ernet.dli.2015.218475/2015.218475.Civilization-And_text.pdf|https://ect.humspace.ucla.edu/wp-content/uploads/2025/04/Freud-Civilization-and-Its-Discontents.pdf|https://www.sas.upenn.edu/~cavitch/pdf-library/Freud_SE_Civ_and_Dis_complete.pdf|https://www.stephenhicks.org/wp-content/uploads/2015/10/FreudS-CIVILIZATION-AND-ITS-DISCONTENTS-text-final.pdf,Civilization and Its Discontents Freud filetype:pdf (retry-en)
40,心理學,佛洛伊德（Sigmund Freud）,佛洛伊德作品集,Y,https://archive.org/details/sigmund-freud-standard-edition-vol-24_202504,https://archive.org/details/sigmund-freud-standard-edition-vol-24_202504|https://archive.org/details/standardeditiono01freu|https://archive.org/details/sigmund-freud-standard-edition-vol-24|https://ia601907.us.archive.org/2/items/sigmund-freud-standard-edition-vol-24_202504/sigmund-freud-standard-edition-vol-17-1917-1919.pdf|https://dn721906.ca.archive.org/0/items/sigmund-freud-standard-edition-vol-24/sigmund-freud-standard-edition-vol-15-1915-1916.pdf,"""佛洛伊德作品集"" 佛洛伊德 pdf 下載"
41,心理學,佛洛伊德（Sigmund Freud）,精神分析引論,Y,https://teric.naer.edu.tw/wSite/PDFReader?xmlId=2043631&fileName=1562584110195&format=pdf,https://teric.naer.edu.tw/wSite/PDFReader?xmlId=2043631&fileName=1562584110195&format=pdf,"""精神分析引論"" 佛洛伊德 pdf 下載"
42,心理學,榮格（Carl Jung）,榮格作品集,Y,https://archive.org/details/the-collected-works-of-carl-jung-complete-digital-edition,"https://archive.org/details/the-collected-works-of-carl-jung-complete-digital-edition|https://archive.org/details/collectedworksof16cgju|https://archive.org/download/the-collected-works-of-carl-jung-complete-digital-edition|https://press.princeton.edu/books/ebook/9781400850877/collected-works-of-c-g-jung-volume-12-pdf|https://ia600305.us.archive.org/3/items/collected-works-of-c.-g.-jung-v-9-1-archetypes-and-the-collective-unconscious-c.-g.-jung/Collected%20Works%20of%20C.G.%20Jung,%20v%209;1%20Archetypes%20and%20the%20Collective%20Unconscious%20-%20C.%20G.%20Jung.pdf","""榮格作品集"" 榮格 pdf 下載"
43,心理學,榮格（Carl Jung）,原型與集體無意識,Y,http://nhuir.nhu.edu.tw/retrieve/32133/103NHU00259013-001.pdf,http://nhuir.nhu.edu.tw/retrieve/32133/103NHU00259013-001.pdf,"""原型與集體無意識"" 榮格 pdf 下載"
44,心理學,榮格（Carl Jung）,心理類型,Y,https://www.jungiananalysts.org.uk/wp-content/uploads/2018/07/C.-G.-Jung-Collected-Works-Volume-6_-Psychological-Types.pdf,https://www.jungiananalysts.org.uk/wp-content/uploads/2018/07/C.-G.-Jung-Collected-Works-Volume-6_-Psychological-Types.pdf|https://iaap.org/wp-content/uploads/2021/04/Psychological-Types.pdf|https://jungiancenter.org/wp-content/uploads/2023/09/Vol-6-psychological-types.pdf,Psychological Types Jung filetype:pdf (retry-en)
45,心理學,榮格（Carl Jung）,回憶夢思考,Y,https://pdfs.semanticscholar.org/30f2/823cb7e1d0b2626e771546200f26ffea1ede.pdf,https://pdfs.semanticscholar.org/30f2/823cb7e1d0b2626e771546200f26ffea1ede.pdf,"""回憶夢思考"" 榮格 pdf 下載"
46,心理學,榮格（Carl Jung）,紅書,Y,http://images.china-pub.com/ebook5035001-5040000/5035412/ch01.pdf,http://images.china-pub.com/ebook5035001-5040000/5035412/ch01.pdf,"""紅書"" 榮格 pdf 下載"
47,心理學,馬斯洛（Abraham Maslow）,動機與人格,Y,https://www.sciencetheearth.com/uploads/2/4/6/5/24658156/1954_maslow_motivation_and_personality.pdf,https://www.sciencetheearth.com/uploads/2/4/6/5/24658156/1954_maslow_motivation_and_personality.pdf|https://scottbarrykaufman.com/wp-content/uploads/2015/01/Maslow-1954.pdf|https://www.holybooks.com/wp-content/uploads/Motivation-and-Personality-Maslow.pdf,Motivation and Personality Maslow filetype:pdf (retry-en)
48,心理學,馬斯洛（Abraham Maslow）,存在心理學探索,Y,https://psycnet.apa.org/fulltext/2005-06675-000-FRM.pdf,https://psycnet.apa.org/fulltext/2005-06675-000-FRM.pdf|https://faculty.sfcc.spokane.edu/InetShare/AutoWebs/kimt/maslow%20-%20psych%20of%20health%20into.pdf,Toward a Psychology of Being Maslow filetype:pdf (retry-en)
49,心理學,馬斯洛（Abraham Maslow）,Toward a Psychology of Being,Y,https://faculty.sfcc.spokane.edu/InetShare/AutoWebs/kimt/maslow%20-%20psych%20of%20health%20into.pdf,https://faculty.sfcc.spokane.edu/InetShare/AutoWebs/kimt/maslow%20-%20psych%20of%20health%20into.pdf|https://cdn.bookey.app/files/pdf/book/en/toward-a-psychology-of-being.pdf|https://www.mchip.net/browse/u34H5C/244770/Toward%20A%20Psychology%20Of%20Being%20Abraham%20H%20Maslow.pdf,"""Toward a Psychology of Being"" Abraham Maslow filetype:pdf"
51,心理學,羅傑斯（Carl Rogers）,On Becoming a Person,Y,https://faculty.sfcc.spokane.edu/InetShare/AutoWebs/kimt/rogers%20this%20is%20me.pdf,"https://faculty.sfcc.spokane.edu/InetShare/AutoWebs/kimt/rogers%20this%20is%20me.pdf|https://cdn.bookey.app/files/pdf/book/en/on-becoming-a-person.pdf|https://teots.org/wp-content/uploads/2021/08/On-becoming-a-person-by-Rogers-Carl-R.-z-lib.org_.pdf|https://psy-akademie.at/fileadmin/Media/WPA/Ausbildungen/PSYCHOTHERAPEUTISCHES_PROPAEDEUTIKUM_A-PP/Unterlagen/A.2/Carl_Rogers_On_Becoming_a_Person_Chapter_1_this_is_me.pdf|https://static1.squarespace.com/static/53a32531e4b091cafcdb9985/t/552dbba7e4b00fcead369154/1429060519034/Rogers,C.-A+Process+Conception+Of+Psychotherapy.pdf","""On Becoming a Person"" Carl Rogers filetype:pdf"
50,心理學,羅傑斯（Carl Rogers）,個人形成論,Y,https://faculty.stust.edu.tw/~ccfu/622GEP/GEP04/gep0432/gep0432_01.pdf,https://faculty.stust.edu.tw/~ccfu/622GEP/GEP04/gep0432/gep0432_01.pdf|https://www.angle.com.tw/File/Try/5D266HB.pdf,"""個人形成論"" 羅傑斯 pdf 下載"
52,心理學,羅傑斯（Carl Rogers）,案主中心治療,N,,,Client Centered Therapy Carl Rogers filetype:pdf (retry-en)
53,心理學,佛洛姆（Erich Fromm）,逃避自由,Y,https://cdn.bookey.app/files/pdf/book/en/escape-from-freedom.pdf,https://cdn.bookey.app/files/pdf/book/en/escape-from-freedom.pdf|http://www.sssch.net/Admin/ckfinder/userfiles/files/shujixiazai/shujijijin%28xinli%29/%E5%BC%97%E6%B4%9B%E5%A7%86/%E9%80%83%E9%81%BF%E8%87%AA%E7%94%B1%EF%BC%88%E5%BC%97%E6%B4%9B%E5%A7%86%EF%BC%89%E5%9B%BD%E9%99%85%E6%96%87%E5%8C%96.pdf|http://www.sssch.net/Admin/ckfinder/userfiles/files/shujixiazai/shujijijin%28xinli%29/%E5%BC%97%E6%B4%9B%E5%A7%86/%E9%80%83%E9%81%BF%E8%87%AA%E7%94%B1.pdf|https://edarcipelago.com/classici/erichfromm/escape%20from%20freedom%20-%20erich%20fromm.pdf|http://www.amas.hk/pdf/qita/%E9%80%83%E9%81%BF%E8%87%AA%E7%94%B1%20([%E7%BE%8E]%E8%89%BE%E9%87%8C%E5%B8%8C%20%E5%BC%97%E6%B4%9B%E5%A7%86%EF%BC%9B%20%E5%88%98%E6%9E%97%E6%B5%B7%20%E8%AF%91)%20(z-lib.org).pdf,"""逃避自由"" 佛洛姆 pdf 下載"
